,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_leaf_nodes,params_min_samples_leaf,params_min_samples_split,params_min_weight_fraction_leaf,user_attrs_run_id,user_attrs_run_name,state,run_group_name,params_n_estimators,params_alpha,params_booster,params_lambda,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth
0,0,0.45380556698203756,2025-02-16 06:15:42.572356,2025-02-16 06:15:47.590405,0 days 00:00:05.018049,32.0,14.0,5.0,2.0,0.0,ffbd5234433a433baba0f81af2e57f0f,decision_tree_trial_0,COMPLETE,decision_tree,,,,,,,,,,,,,,,
1,1,0.08601626016260162,2025-02-16 06:15:47.592217,2025-02-16 06:15:50.162204,0 days 00:00:02.569987,28.0,16.0,4.0,3.0,0.5,ffbbd0609f9e45849e2a5d817d830ada,decision_tree_trial_1,COMPLETE,decision_tree,,,,,,,,,,,,,,,
2,2,0.36202092481162246,2025-02-16 06:15:50.162861,2025-02-16 06:15:52.739478,0 days 00:00:02.576617,2.0,6.0,4.0,2.0,0.0,464064cef6794b918e3b432f8587e674,decision_tree_trial_2,COMPLETE,decision_tree,,,,,,,,,,,,,,,
3,3,0.4451334752204317,2025-02-16 06:15:52.740316,2025-02-16 06:15:55.883647,0 days 00:00:03.143331,18.0,12.0,1.0,7.0,0.0,af2cb54c4ad4435aa837e62141ef975a,decision_tree_trial_3,COMPLETE,decision_tree,,,,,,,,,,,,,,,
4,4,0.2128795645510754,2025-02-16 06:15:55.884586,2025-02-16 06:15:59.002986,0 days 00:00:03.118400,26.0,2.0,6.0,8.0,0.2,e859a4f92e7042dda2448eec932104d0,decision_tree_trial_4,COMPLETE,decision_tree,,,,,,,,,,,,,,,
5,5,0.2128795645510754,2025-02-16 06:15:59.003727,2025-02-16 06:16:01.054872,0 days 00:00:02.051145,14.0,6.0,4.0,2.0,0.2,19f30dc8ed2b4845a1f14b17ea6fef50,decision_tree_trial_5,COMPLETE,decision_tree,,,,,,,,,,,,,,,
6,6,0.2128795645510754,2025-02-16 06:16:01.055653,2025-02-16 06:16:03.596680,0 days 00:00:02.541027,6.0,12.0,1.0,2.0,0.4,1023354d625b4df1b5cfab590b0d9697,decision_tree_trial_6,COMPLETE,decision_tree,,,,,,,,,,,,,,,
7,7,0.2128795645510754,2025-02-16 06:16:03.597301,2025-02-16 06:16:05.814584,0 days 00:00:02.217283,26.0,6.0,6.0,2.0,0.2,765947b20bc449cfa1aed6425fd19512,decision_tree_trial_7,COMPLETE,decision_tree,,,,,,,,,,,,,,,
8,8,0.08601626016260162,2025-02-16 06:16:05.815596,2025-02-16 06:16:09.386375,0 days 00:00:03.570779,20.0,16.0,6.0,4.0,0.5,cf38865af7804d7fb23b2b8eb58db27e,decision_tree_trial_8,COMPLETE,decision_tree,,,,,,,,,,,,,,,
9,9,0.2128795645510754,2025-02-16 06:16:09.387045,2025-02-16 06:16:11.377438,0 days 00:00:01.990393,14.0,4.0,6.0,2.0,0.30000000000000004,06b5fc257ac5428e83b0b3b4c6a82001,decision_tree_trial_9,COMPLETE,decision_tree,,,,,,,,,,,,,,,
0,0,0.23484480431848856,2025-02-16 06:16:11.488823,2025-02-16 06:16:19.620518,0 days 00:00:08.131695,21.0,,29.0,13.0,,175ed524e749452b88fd81b70dd6f401,random_forest_trial_0,COMPLETE,random_forest,822.0,,,,,,,,,,,,,,
1,1,0.31144054899933965,2025-02-16 06:16:19.621337,2025-02-16 06:16:25.879661,0 days 00:00:06.258324,13.0,,26.0,11.0,,39ecfde021ca4d38a51c775329589c98,random_forest_trial_1,COMPLETE,random_forest,648.0,,,,,,,,,,,,,,
2,2,0.3576627712215618,2025-02-16 06:16:25.880277,2025-02-16 06:16:31.835559,0 days 00:00:05.955282,47.0,,3.0,18.0,,d80ec616e2814fa2b4b6cf4349460ed1,random_forest_trial_2,COMPLETE,random_forest,632.0,,,,,,,,,,,,,,
3,3,0.31144054899933965,2025-02-16 06:16:31.836600,2025-02-16 06:16:36.391261,0 days 00:00:04.554661,37.0,,22.0,12.0,,e4243b04b8c1443cbce3d346719a549b,random_forest_trial_3,COMPLETE,random_forest,417.0,,,,,,,,,,,,,,
4,4,0.35477388233267293,2025-02-16 06:16:36.391915,2025-02-16 06:16:45.936929,0 days 00:00:09.545014,39.0,,2.0,17.0,,9522d51485484b95bac81362490f41aa,random_forest_trial_4,COMPLETE,random_forest,813.0,,,,,,,,,,,,,,
5,5,0.31144054899933965,2025-02-16 06:16:45.937872,2025-02-16 06:16:53.067281,0 days 00:00:07.129409,22.0,,21.0,25.0,,775b3483515c400383e3fc08d1d5084d,random_forest_trial_5,COMPLETE,random_forest,393.0,,,,,,,,,,,,,,
6,6,0.31144054899933965,2025-02-16 06:16:53.068005,2025-02-16 06:16:56.567521,0 days 00:00:03.499516,12.0,,13.0,27.0,,56f123b93e244f9ab3dc1bdc78cf3f4b,random_forest_trial_6,COMPLETE,random_forest,107.0,,,,,,,,,,,,,,
7,7,0.31144054899933965,2025-02-16 06:16:56.568331,2025-02-16 06:17:05.550708,0 days 00:00:08.982377,21.0,,8.0,4.0,,91dfbe61ed8d4871a647c598a9d34c0a,random_forest_trial_7,COMPLETE,random_forest,914.0,,,,,,,,,,,,,,
8,8,0.31144054899933965,2025-02-16 06:17:05.552024,2025-02-16 06:17:14.197296,0 days 00:00:08.645272,25.0,,14.0,7.0,,74a9abacfc2a4cbb95dbb52efd70beba,random_forest_trial_8,COMPLETE,random_forest,860.0,,,,,,,,,,,,,,
9,9,0.31144054899933965,2025-02-16 06:17:14.198698,2025-02-16 06:17:18.821116,0 days 00:00:04.622418,24.0,,27.0,30.0,,050dc7e717154599835da64065ee5399,random_forest_trial_9,COMPLETE,random_forest,273.0,,,,,,,,,,,,,,
0,0,0.38413549849428913,2025-02-16 06:17:18.980185,2025-02-16 06:17:31.203221,0 days 00:00:12.223036,,,,,,02bb98d3c784458b816c45e79a4c77cc,xgboost_trial_0,COMPLETE,xgboost,,6.479235021285353e-05,gbtree,5.527701210994865e-05,,,,,,,,,,,
1,1,0.3258094433514131,2025-02-16 06:17:31.205409,2025-02-16 06:17:34.985304,0 days 00:00:03.779895,,,,,,c4b5f18a06964ae9b02e7981b08a3d18,xgboost_trial_1,COMPLETE,xgboost,,5.914152388750908e-08,gblinear,3.178684989773357e-05,,,,,,,,,,,
2,2,0.38413549849428913,2025-02-16 06:17:34.985994,2025-02-16 06:17:44.383917,0 days 00:00:09.397923,,,,,,c0404794b8da4b198be0eaa13e0c5746,xgboost_trial_2,COMPLETE,xgboost,,0.000749120634589489,gbtree,8.815031670569605e-05,,,,,,,,,,,
3,3,0.38413549849428913,2025-02-16 06:17:44.384921,2025-02-16 06:17:50.375933,0 days 00:00:05.991012,,,,,,0ab1fec88a0b4e6a86891f50b5a61057,xgboost_trial_3,COMPLETE,xgboost,,0.0008534667666135833,dart,0.0018031601367258527,,,,,,,,,,,
4,4,0.38413549849428913,2025-02-16 06:17:50.376673,2025-02-16 06:17:52.971752,0 days 00:00:02.595079,,,,,,22811531f7734570810661ebf545a4e6,xgboost_trial_4,COMPLETE,xgboost,,1.4345806953178145e-05,gbtree,2.5586040204450543e-07,,,,,,,,,,,
5,5,0.0,2025-02-16 06:17:52.972410,2025-02-16 06:17:55.373201,0 days 00:00:02.400791,,,,,,73779d9b33784bf88d850faf6d823bc2,xgboost_trial_5,COMPLETE,xgboost,,1.762701475842808e-07,gblinear,0.8614516697957635,,,,,,,,,,,
6,6,0.38036225586390365,2025-02-16 06:17:55.374137,2025-02-16 06:18:01.504967,0 days 00:00:06.130830,,,,,,227e50aba3264a0796ff059e8612d62d,xgboost_trial_6,COMPLETE,xgboost,,0.11316186373425463,dart,1.615881866740646e-05,,,,,,,,,,,
7,7,0.38413549849428913,2025-02-16 06:18:01.505790,2025-02-16 06:18:04.006490,0 days 00:00:02.500700,,,,,,9c7a0ede4f3247818c87b1fcd08bcbaa,xgboost_trial_7,COMPLETE,xgboost,,2.0901221127169438e-08,gbtree,0.054738452902288105,,,,,,,,,,,
8,8,0.38413549849428913,2025-02-16 06:18:04.007141,2025-02-16 06:18:08.807542,0 days 00:00:04.800401,,,,,,bafd7fb3bf784de6a5a3e0b1833f982b,xgboost_trial_8,COMPLETE,xgboost,,3.470496817048554e-07,dart,8.713185506002465e-08,,,,,,,,,,,
9,9,0.38413549849428913,2025-02-16 06:18:08.808159,2025-02-16 06:18:13.649457,0 days 00:00:04.841298,,,,,,873ab3215d34435998be54d2db01f01f,xgboost_trial_9,COMPLETE,xgboost,,1.4812170096453649e-05,dart,0.0006920970900097676,,,,,,,,,,,
0,0,0.37504713074854273,2025-02-16 06:18:13.773937,2025-02-16 06:18:16.478073,0 days 00:00:02.704136,,,,,,fafc9aadfa924717a047fa8ed361cdb5,lightgbm_trial_0,COMPLETE,lightgbm,,,,,0.5282161733724994,4.0,0.4281001312486019,1.6596243813654752,0.48008600076131364,86.0,242.0,,,,
1,1,0.44432527051492576,2025-02-16 06:18:16.478805,2025-02-16 06:18:18.883276,0 days 00:00:02.404471,,,,,,7ee7f2ba928a43b387af0da1115bf7b2,lightgbm_trial_1,COMPLETE,lightgbm,,,,,0.431054023558312,3.0,0.9976853476287664,2.1161363948279376e-07,0.0005317563724201806,16.0,231.0,,,,
2,2,0.43066892130857654,2025-02-16 06:18:18.884000,2025-02-16 06:18:21.361628,0 days 00:00:02.477628,,,,,,a5b715d2f1a744f3a7f4fe5aa07ac80c,lightgbm_trial_2,COMPLETE,lightgbm,,,,,0.913190041407607,2.0,0.9654583944531266,0.0003900221346383365,7.001643222251574e-07,53.0,77.0,,,,
3,3,0.3913109961467105,2025-02-16 06:18:21.362664,2025-02-16 06:18:23.687458,0 days 00:00:02.324794,,,,,,b3b9f07ead55402490aed9c9114f48fa,lightgbm_trial_3,COMPLETE,lightgbm,,,,,0.8482388542269277,5.0,0.45483218631135974,0.0058605371677158844,0.00025522934065285444,80.0,182.0,,,,
4,4,0.40189491087539264,2025-02-16 06:18:23.688299,2025-02-16 06:18:26.001041,0 days 00:00:02.312742,,,,,,2f5b4b9077d64c0ea5fe47240eec15cd,lightgbm_trial_4,COMPLETE,lightgbm,,,,,0.8760712809276652,7.0,0.47209161944577993,2.838095272072572e-07,0.002061042633740139,92.0,53.0,,,,
5,5,0.4087453978561122,2025-02-16 06:18:26.001831,2025-02-16 06:18:28.310540,0 days 00:00:02.308709,,,,,,7da435a979014890b6bd72b9a5400612,lightgbm_trial_5,COMPLETE,lightgbm,,,,,0.6166501648740292,2.0,0.6730812641510271,5.179039278617586e-06,0.25855669806479725,93.0,26.0,,,,
6,6,0.4502778360372586,2025-02-16 06:18:28.311341,2025-02-16 06:18:30.591699,0 days 00:00:02.280358,,,,,,26e12de9c96f4128a6558d5531e7e88a,lightgbm_trial_6,COMPLETE,lightgbm,,,,,0.9812508473976346,6.0,0.4339179042426813,0.21976837839407534,0.000619665529078565,8.0,7.0,,,,
7,7,0.4502778360372586,2025-02-16 06:18:30.592488,2025-02-16 06:18:32.995300,0 days 00:00:02.402812,,,,,,14dabd9aa8a843bb9f34332bf7e21730,lightgbm_trial_7,COMPLETE,lightgbm,,,,,0.8031586832486507,1.0,0.7857099636797107,0.00041825400507323053,2.998010365713401e-05,58.0,186.0,,,,
8,8,0.43812398988341245,2025-02-16 06:18:32.996078,2025-02-16 06:18:35.215519,0 days 00:00:02.219441,,,,,,102e53478bad4fdfb2f280dec82b3eab,lightgbm_trial_8,COMPLETE,lightgbm,,,,,0.5817583998988128,1.0,0.6029550815912024,2.0581202145444633,6.724271826332557e-08,22.0,48.0,,,,
9,9,0.44432527051492576,2025-02-16 06:18:35.216472,2025-02-16 06:18:37.683619,0 days 00:00:02.467147,,,,,,3382592b4f894fb79d1fa9297c7205c7,lightgbm_trial_9,COMPLETE,lightgbm,,,,,0.6896952524825374,2.0,0.8823253519629621,0.017795099617567537,1.4291180581022472e-08,22.0,232.0,,,,
0,0,0.46827589064527464,2025-02-16 06:18:37.797381,2025-02-16 06:18:41.664602,0 days 00:00:03.867221,,,,,,55193912fcce4023be395664b66462b1,catboost_trial_0,COMPLETE,catboost,,,,,,,,,,,,Plain,Bayesian,0.06804306201277548,9.0
1,1,0.4549645727221279,2025-02-16 06:18:41.665211,2025-02-16 06:18:45.229777,0 days 00:00:03.564566,,,,,,4cf69678296c4d0b8047a42eaff09be2,catboost_trial_1,COMPLETE,catboost,,,,,,,,,,,,Ordered,Bayesian,0.019870345992219346,1.0
2,2,0.4713637123665506,2025-02-16 06:18:45.230400,2025-02-16 06:18:48.200966,0 days 00:00:02.970566,,,,,,5df3d9cf7fd6403c8a13bcbe0f605c6f,catboost_trial_2,COMPLETE,catboost,,,,,,,,,,,,Plain,MVS,0.027945583220524955,4.0
3,3,0.46827589064527464,2025-02-16 06:18:48.201631,2025-02-16 06:18:51.839216,0 days 00:00:03.637585,,,,,,61576166c54f4b82a626e203c33c5a57,catboost_trial_3,COMPLETE,catboost,,,,,,,,,,,,Ordered,MVS,0.068039663442494,10.0
4,4,0.46827589064527464,2025-02-16 06:18:51.839899,2025-02-16 06:18:55.115028,0 days 00:00:03.275129,,,,,,aff6bc814151476ea32556302102d9b5,catboost_trial_4,COMPLETE,catboost,,,,,,,,,,,,Plain,MVS,0.06108184864718835,7.0
5,5,0.45972003816864193,2025-02-16 06:18:55.115674,2025-02-16 06:18:58.073705,0 days 00:00:02.958031,,,,,,9030b5d162994f8b8fd583ff13b8057e,catboost_trial_5,COMPLETE,catboost,,,,,,,,,,,,Plain,Bernoulli,0.07954636464514744,2.0
6,6,0.4671723087869994,2025-02-16 06:18:58.074311,2025-02-16 06:19:01.606002,0 days 00:00:03.531691,,,,,,b5d96fb894f34921ac2a7cff58039763,catboost_trial_6,COMPLETE,catboost,,,,,,,,,,,,Ordered,Bayesian,0.08963328110719121,12.0
7,7,0.4549645727221279,2025-02-16 06:19:01.606699,2025-02-16 06:19:05.013533,0 days 00:00:03.406834,,,,,,bb0f45ec6a6b4d8685d496e45d940a34,catboost_trial_7,COMPLETE,catboost,,,,,,,,,,,,Ordered,MVS,0.015425337633352866,12.0
8,8,0.46476267157420537,2025-02-16 06:19:05.014190,2025-02-16 06:19:07.966749,0 days 00:00:02.952559,,,,,,68830f9f573742f2bfc7d271249736d3,catboost_trial_8,COMPLETE,catboost,,,,,,,,,,,,Plain,MVS,0.03973184223740432,5.0
9,9,0.46827589064527464,2025-02-16 06:19:07.967340,2025-02-16 06:19:11.544845,0 days 00:00:03.577505,,,,,,aab6349119b24a35a4bcd7d0fd7ed2ed,catboost_trial_9,COMPLETE,catboost,,,,,,,,,,,,Ordered,MVS,0.0979198528783834,7.0
